CustomerID,Total_Spending,Average_Order_Value,Total_Quantity,Average_Unit_Price,Total_Items_In_Cart,Number_of_Orders,Cluster
C10002,1470.03,1470.03,3,490.01,4,1,1
C10054,153.48,153.48,2,76.74,7,1,0
C10126,1349.8,1349.8,2,674.9,4,1,1
C10154,1303.04,1303.04,4,325.76,8,1,1
C10211,635.9,635.9,5,127.18,10,1,0
C10477,466.42,466.42,1,466.42,5,1,0
C10642,922.74,922.74,2,461.37,5,1,0
C10787,1099.28,1099.28,4,274.82,9,1,1
C10791,355.09,355.09,1,355.09,5,1,0
C11127,1306.65,1306.65,5,261.33,5,1,1
C11210,454.6,454.6,5,90.92,9,1,0
C11415,2876.2,2876.2,5,575.24,7,1,1
C11473,146.82,146.82,2,73.41,2,1,0
C11657,264.4,264.4,4,66.1,9,1,0
C11665,337.38,337.38,3,112.46,6,1,0
C11676,929.0,929.0,2,464.5,2,1,0
C11829,279.14,279.14,2,139.57,4,1,0
C11849,476.5,476.5,2,238.25,7,1,0
C11906,1237.59,1237.59,3,412.53,6,1,0
C11921,452.7,452.7,1,452.7,5,1,0
C11940,448.02,448.02,3,149.34,7,1,0
C11985,30.44,30.44,1,30.44,1,1,0
C12039,132.68,132.68,1,132.68,1,1,0
C12301,531.74,531.74,1,531.74,1,1,0
C12444,230.88,230.88,3,76.96,8,1,0
C12459,284.16,284.16,2,142.08,4,1,0
C12472,252.93,252.93,3,84.31,3,1,0
C12487,1427.07,1427.07,3,475.69,3,1,0
C12607,281.52,281.52,1,281.52,6,1,0
C12609,547.32,547.32,4,136.83,8,1,0
C12740,644.75,644.75,5,128.95,10,1,0
C12813,1462.7,1462.7,5,292.54,8,1,1
C13108,3293.85,3293.85,5,658.77,10,1,1
C13169,536.07,536.07,1,536.07,5,1,0
C13540,1239.64,1239.64,4,309.91,5,1,0
C13923,118.8,118.8,1,118.8,6,1,0
C14005,80.46,80.46,2,40.23,4,1,0
C14017,1248.32,1248.32,2,624.16,2,1,0
C14114,1704.06,1704.06,3,568.02,3,1,1
C14240,491.11,491.11,1,491.11,4,1,0
C14455,164.85,164.85,3,54.95,8,1,0
C14552,1120.0,1120.0,5,224.0,9,1,1
C14553,440.19,440.19,3,146.73,8,1,0
C14576,2156.8,2156.8,4,539.2,8,1,1
C14683,1069.34,1069.34,2,534.67,7,1,0
C14737,581.64,581.64,4,145.41,7,1,0
C14837,183.18,183.18,1,183.18,6,1,0
C14847,318.81,318.81,1,318.81,3,1,0
C14891,1654.96,1654.96,4,413.74,7,1,1
C14983,17.24,17.24,1,17.24,2,1,0
C15017,675.57,675.57,1,675.57,1,1,0
C15063,426.1,426.1,5,85.22,7,1,0
C15146,190.55,190.55,5,38.11,6,1,0
C15228,1422.42,1422.42,3,474.14,8,1,1
C15257,580.2,580.2,4,145.05,6,1,0
C15629,912.45,912.45,3,304.15,3,1,0
C15849,525.43,525.43,1,525.43,2,1,0
C15924,245.89,245.89,1,245.89,3,1,0
C16012,630.82,630.82,1,630.82,5,1,0
C16429,679.65,679.65,1,679.65,6,1,0
C16612,600.54,600.54,1,600.54,4,1,0
C16675,857.4,857.4,4,214.35,7,1,0
C16693,949.72,949.72,4,237.43,8,1,0
C16758,188.31,188.31,3,62.77,6,1,0
C16775,3353.75,3353.75,5,670.75,8,1,1
C16776,320.0,320.0,2,160.0,4,1,0
C16790,258.96,258.96,4,64.74,8,1,0
C17103,1278.36,1278.36,3,426.12,5,1,0
C17132,386.03,386.03,1,386.03,4,1,0
C17136,641.96,641.96,4,160.49,8,1,0
C17181,2276.65,2276.65,5,455.33,8,1,1
C17302,359.99,359.99,1,359.99,5,1,0
C17388,317.25,317.25,1,317.25,1,1,0
